first_approval,molecule_chembl_id,molecule_type,pref_name,smiles
1997.0,CHEMBL408,Small molecule,TROGLITAZONE,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
1995.0,CHEMBL409,Small molecule,BICALUTAMIDE,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
1963.0,CHEMBL12,Small molecule,DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
1978.0,CHEMBL13,Small molecule,METOPROLOL,COCCc1ccc(OCC(O)CNC(C)C)cc1
1973.0,CHEMBL411,Small molecule,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
1956.0,CHEMBL267936,Small molecule,MECAMYLAMINE,CNC1(C)C2CCC(C2)C1(C)C
1972.0,CHEMBL14,Small molecule,CARBACHOL,C[N+](C)(C)CCOC(N)=O.[Cl-]
1953.0,CHEMBL16,Small molecule,PHENYTOIN,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
1999.0,CHEMBL413,Small molecule,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
1994.0,CHEMBL269732,Small molecule,TACROLIMUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
1989.0,CHEMBL415,Small molecule,CLOMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
1954.0,CHEMBL416,Small molecule,METHOXSALEN,COc1c2occc2cc2ccc(=O)oc12
1958.0,CHEMBL17,Small molecule,DICHLORPHENAMIDE,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
1982.0,CHEMBL18,Small molecule,ETHOXZOLAMIDE,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
1999.0,CHEMBL417,Small molecule,EPIRUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
1959.0,CHEMBL19,Small molecule,METHAZOLAMIDE,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
1953.0,CHEMBL20,Small molecule,ACETAZOLAMIDE,CC(=O)Nc1nnc(S(N)(=O)=O)s1
1969.0,CHEMBL419,Small molecule,MAFENIDE,NCc1ccc(S(N)(=O)=O)cc1
1985.0,CHEMBL21,Small molecule,SULFANILAMIDE,Nc1ccc(S(N)(=O)=O)cc1
1982.0,CHEMBL420,Small molecule,GUANABENZ,N=C(N)N/N=C/c1c(Cl)cccc1Cl
1973.0,CHEMBL22,Small molecule,TRIMETHOPRIM,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
1981.0,CHEMBL6966,Small molecule,VERAPAMIL,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
1950.0,CHEMBL421,Small molecule,SULFASALAZINE,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
1982.0,CHEMBL23,Small molecule,DILTIAZEM,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
1981.0,CHEMBL24,Small molecule,ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
1950.0,CHEMBL25,Small molecule,ASPIRIN,CC(=O)Oc1ccccc1C(=O)O
1959.0,CHEMBL422,Small molecule,TRIFLUOPERAZINE,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
1985.0,CHEMBL423,Small molecule,BETAXOLOL,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
1990.0,CHEMBL425,Small molecule,OLSALAZINE,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
1967.0,CHEMBL27,Small molecule,PROPRANOLOL,CC(C)NCC(O)COc1cccc2ccccc12
1949.0,CHEMBL427,Small molecule,MECHLORETHAMINE,CN(CCCl)CCCl
1947.0,CHEMBL29,Small molecule,BENZYLPENICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
1977.0,CHEMBL30,Small molecule,CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
1999.0,CHEMBL31,Small molecule,GATIFLOXACIN,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
1984.0,CHEMBL429,Small molecule,LABETALOL,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
1999.0,CHEMBL32,Small molecule,MOXIFLOXACIN,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
1996.0,CHEMBL33,Small molecule,LEVOFLOXACIN,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
2003.0,CHEMBL430,Small molecule,GEMIFLOXACIN,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN
1994.0,CHEMBL431,Small molecule,SPIRAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
1996.0,CHEMBL433,Small molecule,VALPROATE SODIUM,CCCC(CCC)C(=O)[O-].[Na+]
1956.0,CHEMBL434,Small molecule,ISOPROTERENOL,CC(C)NCC(O)c1ccc(O)c(O)c1
1959.0,CHEMBL435,Small molecule,HYDROCHLOROTHIAZIDE,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
1966.0,CHEMBL35,Small molecule,FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
1953.0,CHEMBL36,Small molecule,PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
1945.0,CHEMBL437,Small molecule,SULFATHIAZOLE,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
1982.0,CHEMBL438,Small molecule,SULFAMERAZINE,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
1941.0,CHEMBL439,Small molecule,SULFADIAZINE,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
1982.0,CHEMBL440,Small molecule,THIAMYLAL,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
1982.0,CHEMBL441,Small molecule,THIOPENTAL,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
1948.0,CHEMBL442,Small molecule,ERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
1971.0,CHEMBL38,Small molecule,TRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
1960.0,CHEMBL7413,Small molecule,METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
1987.0,CHEMBL41,Small molecule,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
1973.0,CHEMBL443,Small molecule,SULFAMETHOXAZOLE,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
1989.0,CHEMBL42,Small molecule,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
1964.0,CHEMBL445,Small molecule,NORTRIPTYLINE,CNCCC=C1c2ccccc2CCc2ccccc21
1949.0,CHEMBL446,Small molecule,SULFAMETHAZINE,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
1950.0,CHEMBL447,Small molecule,SECOBARBITAL,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
1973.0,CHEMBL448,Small molecule,PENTOBARBITAL,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
1939.0,CHEMBL449,Small molecule,BUTABARBITAL,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
1982.0,CHEMBL450,Small molecule,METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O
1960.0,CHEMBL451,Small molecule,CHLORDIAZEPOXIDE,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
1975.0,CHEMBL452,Small molecule,CLONAZEPAM,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
1971.0,CHEMBL453,Small molecule,SULFISOXAZOLE,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
1983.0,CHEMBL454,Small molecule,BUTALBITAL,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
1945.0,CHEMBL455,Small molecule,SULFACETAMIDE,CC(=O)NS(=O)(=O)c1ccc(N)cc1
1967.0,CHEMBL456,Small molecule,ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
1979.0,CHEMBL267744,Small molecule,TICRYNAFEN,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
1981.0,CHEMBL457,Small molecule,GEMFIBROZIL,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
1991.0,CHEMBL46,Small molecule,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
1986.0,CHEMBL49,Small molecule,BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
1962.0,CHEMBL459,Small molecule,METHYLDOPA,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
1974.0,CHEMBL460,Small molecule,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
2004.0,CHEMBL53,Small molecule,APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
1967.0,CHEMBL54,Small molecule,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
1984.0,CHEMBL55,Small molecule,PENTAMIDINE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
1986.0,CHEMBL464,Small molecule,ETRETINATE,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
1996.0,CHEMBL57,Small molecule,NEVIRAPINE,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
1985.0,CHEMBL465,Small molecule,DRONABINOL,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
1987.0,CHEMBL58,Small molecule,MITOXANTRONE,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
1967.0,CHEMBL467,Small molecule,HYDROXYUREA,NC(=O)NO
1990.0,CHEMBL61,Small molecule,PODOFILOX,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
1952.0,CHEMBL64,Small molecule,ISONIAZID,NNC(=O)c1ccncc1
1998.0,CHEMBL468,Small molecule,THALIDOMIDE,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
1989.0,CHEMBL469,Small molecule,KETOROLAC,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
1992.0,CHEMBL471,Small molecule,SOTALOL,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
1984.0,CHEMBL472,Small molecule,GLYBURIDE,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
1999.0,CHEMBL473,Small molecule,DOFETILIDE,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
1975.0,CHEMBL476,Small molecule,DACARBAZINE,CN(C)/N=N/c1[nH]cnc1C(N)=O
1989.0,CHEMBL477,Small molecule,ADENOSINE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1962.0,CHEMBL479,Small molecule,THIORIDAZINE,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
1995.0,CHEMBL480,Small molecule,LANSOPRAZOLE,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
1996.0,CHEMBL481,Small molecule,IRINOTECAN,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
1984.0,CHEMBL70,Small molecule,MORPHINE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
1952.0,CHEMBL485,Small molecule,CODEINE,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
1957.0,CHEMBL71,Small molecule,CHLORPROMAZINE,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
1964.0,CHEMBL72,Small molecule,DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21
1980.0,CHEMBL488,Small molecule,AMINOGLUTETHIMIDE,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
1982.0,CHEMBL74,Small molecule,CROMOLYN SODIUM,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+]
1949.0,CHEMBL76,Small molecule,CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
1992.0,CHEMBL490,Small molecule,PAROXETINE,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
1948.0,CHEMBL79,Small molecule,LIDOCAINE,CCN(CC)CC(=O)Nc1c(C)cccc1C
1976.0,CHEMBL492,Small molecule,ETIDOCAINE,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
1971.0,CHEMBL80,Small molecule,NALOXONE,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
1997.0,CHEMBL81,Small molecule,RALOXIFENE,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
1977.0,CHEMBL83,Small molecule,TAMOXIFEN,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
1978.0,CHEMBL493,Small molecule,BROMOCRIPTINE,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
2004.0,CHEMBL494,Small molecule,ILOPROST,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
1996.0,CHEMBL84,Small molecule,TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
1993.0,CHEMBL85,Small molecule,RISPERIDONE,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
1982.0,CHEMBL428880,Small molecule,CROMOLYN,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
1979.0,CHEMBL86,Small molecule,METOCLOPRAMIDE,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
1992.0,CHEMBL428647,Small molecule,PACLITAXEL,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
1981.0,CHEMBL495,Small molecule,ALPROSTADIL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
1949.0,CHEMBL496,Small molecule,HEXACHLOROPHENE,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
1982.0,CHEMBL497,Small molecule,CLIOQUINOL,Oc1c(I)cc(Cl)c2cccnc12
1959.0,CHEMBL88,Small molecule,CYCLOPHOSPHAMIDE,O=P1(N(CCCl)CCCl)NCCCO1
1958.0,CHEMBL498,Small molecule,CHLORPROPAMIDE,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
1978.0,CHEMBL499,Small molecule,TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
1982.0,CHEMBL500,Small molecule,PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12
1953.0,CHEMBL276832,Small molecule,HYDRALAZINE,NNc1nncc2ccccc12
1960.0,CHEMBL501,Small molecule,AMPHETAMINE SULFATE,CC(N)Cc1ccccc1.O=S(=O)(O)O
1964.0,CHEMBL267345,Small molecule,AMPHOTERICIN B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
1939.0,CHEMBL90,Small molecule,HISTAMINE,NCCc1c[nH]cn1
1974.0,CHEMBL91,Small molecule,MICONAZOLE,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
1996.0,CHEMBL92,Small molecule,DOCETAXEL,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
1996.0,CHEMBL93,Small molecule,ZILEUTON,CC(c1cc2ccccc2s1)N(O)C(N)=O
1993.0,CHEMBL95,Small molecule,TACRINE,Nc1c2c(nc3ccccc13)CCCC2
1996.0,CHEMBL502,Small molecule,DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
1987.0,CHEMBL503,Small molecule,LOVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
1978.0,CHEMBL504,Small molecule,DIMETHYL SULFOXIDE,C[S+](C)[O-]
1950.0,CHEMBL505,Small molecule,CHLORPHENIRAMINE,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
1952.0,CHEMBL506,Small molecule,PRIMAQUINE,COc1cc(NC(C)CCCN)c2ncccc2c1
1980.0,CHEMBL509,Small molecule,MECLOFENAMIC ACID,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
1973.0,CHEMBL511,Small molecule,PYRILAMINE,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
1977.0,CHEMBL513,Small molecule,CARMUSTINE,O=NN(CCCl)C(=O)NCCCl
1976.0,CHEMBL514,Small molecule,LOMUSTINE,O=NN(CCCl)C(=O)NC1CCCCC1
1957.0,CHEMBL515,Small molecule,CHLORAMBUCIL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
1961.0,CHEMBL516,Small molecule,CYPROHEPTADINE,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
1984.0,CHEMBL12856,Small molecule,INAMRINONE,Nc1cc(-c2ccncc2)c[nH]c1=O
1977.0,CHEMBL517,Small molecule,DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
2006.0,CHEMBL98,Small molecule,VORINOSTAT,O=C(CCCCCCC(=O)Nc1ccccc1)NO
1974.0,CHEMBL521,Small molecule,IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1
1982.0,CHEMBL524,Small molecule,METHOXAMINE,COc1ccc(OC)c(C(O)C(C)N)c1
1989.0,CHEMBL526,Small molecule,PROPOFOL,CC(C)c1cccc(C(C)C)c1O
1982.0,CHEMBL527,Small molecule,PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
1983.0,CHEMBL528,Small molecule,CEFTIZOXIME,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1
1980.0,CHEMBL101,Small molecule,PHENYLBUTAZONE,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
1991.0,CHEMBL529,Small molecule,AZITHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
1984.0,CHEMBL530,Small molecule,AMDINOCILLIN,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
1988.0,CHEMBL531,Small molecule,PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
1964.0,CHEMBL532,Small molecule,ERYTHROMYCIN,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
1995.0,CHEMBL533,Small molecule,IBUTILIDE,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
1976.0,CHEMBL103,Small molecule,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1999.0,CHEMBL534,Small molecule,KETOTIFEN,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
2006.0,CHEMBL535,Small molecule,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
2002.0,CHEMBL537,Small molecule,HYDROQUINONE,Oc1ccc(O)cc1
1999.0,CHEMBL544,Small molecule,MEQUINOL,COc1ccc(O)cc1
1975.0,CHEMBL104,Small molecule,CLOTRIMAZOLE,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
1981.0,CHEMBL105,Small molecule,MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
1983.0,CHEMBL546,Small molecule,OXPRENOLOL,C=CCOc1ccccc1OCC(O)CNC(C)C
1990.0,CHEMBL106,Small molecule,FLUCONAZOLE,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
1982.0,CHEMBL547,Small molecule,ISOTRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
2009.0,CHEMBL14376,Small molecule,ILOPERIDONE,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
1977.0,CHEMBL548,Small molecule,DINOPROSTONE,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
2013.0,CHEMBL278020,Small molecule,NEOSTIGMINE,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
1998.0,CHEMBL549,Small molecule,CITALOPRAM,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
1974.0,CHEMBL550,Small molecule,PILOCARPINE,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
1961.0,CHEMBL107,Small molecule,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
2004.0,CHEMBL553,Small molecule,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
2007.0,CHEMBL554,Small molecule,LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
1968.0,CHEMBL108,Small molecule,CARBAMAZEPINE,NC(=O)N1c2ccccc2C=Cc2ccccc21
1978.0,CHEMBL109,Small molecule,VALPROIC ACID,CCCC(CCC)C(=O)O
1992.0,CHEMBL277100,Small molecule,TEMAFLOXACIN,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
2017.0,CHEMBL110,Small molecule,BENZNIDAZOLE,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
1968.0,CHEMBL556,Small molecule,DEFEROXAMINE,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
1985.0,CHEMBL558,Small molecule,MEXILETINE,Cc1cccc(C)c1OCC(C)N
